token_ID,filename,category,word,POS,rel
87,brainiac_female,writer,other,aspiring,ADJ,amod
201,brainiac_female,teacher,other,brilliant,ADJ,amod
244,brainiac_female,people,other,other,ADJ,amod
257,brainiac_female,people,other,other,ADJ,amod
268,brainiac_female,people,other,other,ADJ,amod
372,brainiac_female,class,other,look,VERB,nsubj
515,brainiac_female,child,other,excellent,ADJ,amod
544,brainiac_female,tutor,other,needs,VERB,dobj
611,brainiac_female,friends,other,ask,VERB,nsubj
671,brainiac_female,friends,other,joke,VERB,nsubj
680,brainiac_female,genius,other,joke,VERB,dobj
725,brainiac_female,people,other,other,ADJ,amod
726,brainiac_female,people,other,think,VERB,nsubj
739,brainiac_female,man,men,meets,VERB,dobj
750,brainiac_female,they,other,be,VERB,nsubj
758,brainiac_female,they,other,do,VERB,nsubj
764,brainiac_female,man,men,goes,VERB,nsubj
780,brainiac_female,life,other,successful,ADJ,amod
781,brainiac_female,life,other,has,VERB,dobj
861,brainiac_female,person,other,is,VERB,nsubj
881,brainiac_female,listener,other,great,ADJ,amod
935,brainiac_female,woman,women,quiet,ADJ,amod
985,brainiac_female,kid,other,bright,ADJ,amod
1091,brainiac_female,parents,other,is,VERB,nsubj
1112,brainiac_female,you,other,look,VERB,nsubj
1139,brainiac_female,you,other,be,VERB,nsubj
1153,brainiac_female,students,other,are,VERB,nsubj
1232,brainiac_female,she,women,had,VERB,nsubj
1237,brainiac_female,people,other,come,VERB,nsubj
1299,brainiac_female,classmates,other,solve,VERB,nsubj
1365,brainiac_female,they,other,remember,VERB,nsubj
1369,brainiac_female,they,other,remember,VERB,dobj
1395,brainiac_female,father,men,new,ADJ,amod
1446,brainiac_female,others,other,help,VERB,dobj
1619,brainiac_female,friends,other,are,VERB,nsubj
1632,brainiac_female,friends,other,seek,VERB,nsubj
1778,brainiac_female,people,other,smartest,ADJ,amod
1825,brainiac_female,person,other,smartest,ADJ,amod
1843,brainiac_female,person,other,smartest,ADJ,amod
1926,brainiac_female,parents,other,teach,VERB,nsubj
1942,brainiac_female,parents,other,tell,VERB,nsubj
1966,brainiac_female,anyone,other,outsmart,VERB,dobj
1986,brainiac_female,outcast,other,social,ADJ,amod
2000,brainiac_female,woman,women,quiet,ADJ,amod
2022,brainiac_female,boy,men,natured,ADJ,amod
2028,brainiac_female,boy,men,lucky,ADJ,amod
2033,brainiac_female,artist,other,fantastic,ADJ,amod
2081,brainiac_female,people,other,ask,VERB,nsubj
2107,brainiac_female,people,other,say,VERB,nsubj
2116,brainiac_female,people,other,say,VERB,nsubj
2158,brainiac_female,person,other,smartest,ADJ,amod
2198,brainiac_female,professors,other,respected,VERB,nsubj
2241,brainiac_female,classmates,other,solve,VERB,nsubj
2264,brainiac_female,classmates,other,were,VERB,nsubj
2424,brainiac_female,life,other,have,VERB,dobj
2428,brainiac_female,doctor,other,smart,ADJ,amod
2430,brainiac_female,doctor,other,strong,ADJ,amod
2444,brainiac_female,you,other,'re,VERB,nsubj
2479,brainiac_female,cult,other,largest,ADJ,amod
2480,brainiac_female,cult,other,religious,ADJ,amod
2493,brainiac_female,people,other,see,VERB,nsubj
2495,brainiac_female,you,other,see,VERB,dobj
2498,brainiac_female,you,other,are,VERB,nsubj
