token_ID,filename,category,word,POS,rel
42,brainiac_female,they,other,have,VERB,nsubj
52,brainiac_female,they,other,going,VERB,nsubj
77,brainiac_female,you,other,love,VERB,dobj
162,brainiac_female,sister,women,youngest,ADJ,amod
166,brainiac_female,they,other,go,VERB,nsubj
176,brainiac_female,they,other,'s,VERB,nsubj
180,brainiac_female,they,other,end,VERB,nsubj
194,brainiac_female,characters,other,work,VERB,nsubj
211,brainiac_female,they,other,be,VERB,nsubj
215,brainiac_female,life,other,real,ADJ,amod
239,brainiac_female,teens,other,other,ADJ,amod
244,brainiac_female,adults,other,many,ADJ,amod
258,brainiac_female,family,other,suffered,VERB,nsubj
360,brainiac_female,mother,women,found,VERB,nsubj
434,brainiac_female,doctor,other,is,VERB,nsubj
464,brainiac_female,man,men,great,ADJ,amod
475,brainiac_female,woman,women,better,ADJ,amod
495,brainiac_female,they,other,get,VERB,nsubj
529,brainiac_female,father,men,murdered,VERB,nsubjpass
535,brainiac_female,mother,women,flees,VERB,nsubj
573,brainiac_female,you,other,want,VERB,nsubj
627,brainiac_female,mother,women,single,ADJ,amod
632,brainiac_female,daughter,women,has,VERB,dobj
644,brainiac_female,they,other,have,VERB,nsubj
734,brainiac_female,you,other,be,VERB,nsubj
756,brainiac_female,you,other,expect,VERB,nsubj
766,brainiac_female,writer,other,accomplished,ADJ,amod
822,brainiac_female,woman,women,be,VERB,nsubj
888,brainiac_female,spokesman,men,top,ADJ,amod
908,brainiac_female,president,other,offered,VERB,nsubj
952,brainiac_female,community,other,small,ADJ,amod
1036,brainiac_female,life,other,real,ADJ,amod
1055,brainiac_female,someone,other,have,VERB,dobj
1057,brainiac_female,you,other,watch,VERB,nsubj
1138,brainiac_female,person,other,is,VERB,nsubj
1172,brainiac_female,everyone,other,take,VERB,nsubj
1200,brainiac_female,candidate,other,perfect,ADJ,amod
1265,brainiac_female,her,women,left,VERB,dobj
1294,brainiac_female,he,men,known,VERB,nsubjpass
1298,brainiac_female,he,men,'s,VERB,nsubj
1321,brainiac_female,artist,other,wacky,ADJ,amod
1331,brainiac_female,he,men,wrote,VERB,nsubj
1336,brainiac_female,he,men,arrived,VERB,nsubj
1344,brainiac_female,he,men,came,VERB,nsubj
1374,brainiac_female,person,other,beautiful,ADJ,amod
1379,brainiac_female,girl,women,wonderful,ADJ,amod
1389,brainiac_female,person,other,same,ADJ,amod
1465,brainiac_female,girl,women,sixteen year old,ADJ,amod
1466,brainiac_female,girl,women,lives,VERB,nsubj
1476,brainiac_female,girl,women,average,ADJ,amod
1477,brainiac_female,girl,women,sixteen year old,ADJ,amod
1682,brainiac_female,friend,other,best,ADJ,amod
1683,brainiac_female,friend,other,is,VERB,nsubj
1824,brainiac_female,others,other,many,ADJ,amod
1840,brainiac_female,mothers,women,hardworking,VERB,dobj
1933,brainiac_female,self,other,past,ADJ,amod
1958,brainiac_female,people,other,forget,VERB,nsubj
1961,brainiac_female,life,other,bad,ADJ,amod
1962,brainiac_female,life,other,be,VERB,nsubj
2028,brainiac_female,person,other,terrible,ADJ,amod
2039,brainiac_female,person,other,was,VERB,nsubj
2095,brainiac_female,you,other,see,VERB,nsubj
2138,brainiac_female,you,other,go,VERB,nsubj
2147,brainiac_female,you,other,get,VERB,nsubj
2175,brainiac_female,group,other,uninspiring,ADJ,amod
2185,brainiac_female,group,other,convince,VERB,nsubj
2190,brainiac_female,group,other,uninspiring,ADJ,amod
2206,brainiac_female,teacher,women,awesome,ADJ,amod
2245,brainiac_female,life,other,revolves,VERB,nsubj
2320,brainiac_female,life,other,is,VERB,nsubj
2356,brainiac_female,monsters,other,stop,VERB,dobj
2410,brainiac_female,teens,other,most,ADJ,amod
2426,brainiac_female,bitch,other,real,ADJ,amod
2427,brainiac_female,bitch,other,was,VERB,nsubj
2506,brainiac_female,woman,women,save,VERB,dobj
2517,brainiac_female,man,men,kill,VERB,dobj
2543,brainiac_female,someone,other,save,VERB,dobj
2596,brainiac_female,taylor,named,given,VERB,nsubj
2608,brainiac_female,woman,women,other,ADJ,amod
2609,brainiac_female,woman,women,finds,VERB,dobj
2631,brainiac_female,character,other,referred,VERB,nsubjpass
2666,brainiac_female,girl,women,brightest,ADJ,amod
